"LA CASA DE LOS ESPÍRITUS","ALLENDE, ISABEL","BIB"
"EL ÁNGEL NEGRO","CONNOLLY, JOHN","BIB"
"ADN ASESINO","CORNWELL, PATRICIA","BIB"
"HUESOS EN EL JARDÍN","MANKELL, HENNING","BIB"
"LOS GUARDIANES DEL LIBRO","BROOKS, GERALDINE","BIB"
"EL JURAMENTO DE ISABEL","GORTNER, C.W.","SAL"
"EL ZORRO, COMIENZA LA LEYENDA","ALLENDE, ISABEL","BIB"
"EL JUEGO DE RIPPER","ALLENDE, ISABEL","BIB"
"EL REGRESO DEL CATÓN","ASENSI, MATILDE","SAL"
"DOS NIÑAS VESTIDAS DE AZUL","HIGGINS CLARK, MARY","BIB"
"HUESOS EN EL JARDÍN","MANKELL, HENNING","BIB"
"EL CIRUJANO DE AL-ÁNDALUS","CAVANILLAS DE BLAS, ANTONIO","BIB"
"LA HORA DE LA VERDAD","BROCKMANN, SUZANNE","BIB"
"CAMINO HACIA EL PARAISO","HIGGINS CLARK, MARY","BIB"
"EXTRAÑOS EN UN TREN","HIGHSMITH, PATRICIA","BIB"
"ESCONDIDO EN LAS SOMBRAS","CLARK, MARY HIGGINS","BIB"
"LA BIBLIA DE BARRO","NAVARRO, JULIA","BIB"
"LA MISMA CANCIÓN","HIGGINS CLARK, MARY","BIB"
"LA MISMA CANCIÓN","CLARK, MARY HIGGINS","BIB"
"MENTIRAS DE SANGRE","CLARK, MARY HIGGINS","BIB"
"DAISY SISTERS","MANKELL, HENNING","BIB"
"EL TALENTO DE MR. RIPLEY","HIGHSMITH, PATRICIA","BIB"
"JOYLAND","KING, STEPHEN","BIB"
"NO LLORES MÁS, MY LADY","CLARK, MARY HIGGINS","BIB"
"¿DONDE TE ESCONDES?","CLARK, MARY HIGGINS","BIB"
"CAMINO HACIA EL PASADO","CLARK, MARY HIGGINS","BIB"
"DOS NIÑAS VESTIDAS DE AZUL","CLARK, MARY HIGGINS","BIB"
"A LA SOMBRA DEL TEMPLO","MARTINEZ DE LEZEA, TOTI","BIB"
"EL JUEGO DE RIPPER","ALLENDE, ISABEL","BIB"
"CERCA DE TI","CLARK, MARY JANE","BIB"
"LOS GRAFITIS DE MAM,"MARTINEZ DE LEZEA, TOTI","BIB"
"EL ÚLTIMO ADIÓS","CLARK, MARY HIGGINS","BIB"
"CELL","KING, STEPHEN","BIB"
"ENDA","MARTINEZ DE LEZEA, TOTI","BIB"
"EL QUINTO TESTIGO","CONNELLY, MICHAEL","BIB"
"ESPERANDO AL REY","PERIDIS","BIB"
"LAS JOYAS DEL PARAISO","LEON, DONNA","BIB"
"VALOR SEGURO","PARETSKY, SARA","BIB"
"R DE REBELDE","GRAFTON, SUE","BIB"
"ASESINATO EN LA CATEDRAL","CRISPIN, EDMUN","BIB"
"CINCO PISTAS FALSAS","SAYERS, DOROTHY L.","BIB"
"LÍBRANOS DEL BIEN","LEON, DONNA","BIB"
"MUERTE ENTRE LÍNEAS","LEON, DONNA","BIB"
"LOS SECRETOS DE OXFORD","SAYERS, DOROTHY L.","BIB"
"TESTIGO EN LA SOMBRA","CLARK, MARY HIGGINS","BIB"
"EL SECRETO DE LA NOCHE","CLARK, MARY HIGGINS","BIB"
"SÓLO TE LO DIRÉ A TI","CLARK, MARY JANE","BIB"
"LAS AGUAS DE LA ETERNA JUVENTUD","LEON, DONNA","BIB"
"LA CHICA DE SUS SUEÑOS","LEON, DONNA","BIB"
"NOBLEZA OBLIGA","LEON, DONNA","BIB"
"SANGRE O AMOR","LEON, DONNA","BIB"
