INDIGNAOS,XXX,XXX
HUESOS EN EL JARDÍN,"MANKELL, HENNING",XXX
EL ÁNGEL PERDIDO,"SIERRA, JAVIER",XXX
LA CENA SECRETA,"SIERRA, JAVIER",XXX
LOS HUMANOS,"HAIG, MATT",XXX
SI LEVANTARA LA CABEZA,"VÁZQUEZ, DANIEL",XXX
ESTOY BIEN,"BENITEZ, JJ",XXX
PACTOS Y SEÑALES,"BENITEZ, JJ",XXX
LA PIRÁMIDE INMORTAL,"SIERRA, JAVIER",XXX
EN BUSCA DE LA EDAD DE ORO,"SIERRA, JAVIER",XXX
EL HOMBRE DE LAS MÁSCARAS DE ESPEJOS,"GARRIDO, VICENTE",XXX
LA TEMPLANZA,"DUEÑAS, MARÍA",XXX
A FLOR DE PIEL,"MORO, JAVIER",XXX
LA INTELIGENCIA EJECUTIVA ,"MARINA, JOSE ANTONIO",XXX
LA TEMPLANZA,"DUEÑAS, MARÍA",XXX
HISTORIA DE UN CANALLA,"NAVARRO, JULIA",XXX
ESTOY BIEN,"BENITEZ, JUANJO",XXX
PACTOS Y SEÑALES,"BENITEZ, JUANJO",XXX
EL HOMBRE DE LAS MÁSCARAS DE ESPEJOS,"GARRIDO, VICENTE",XXX
LA PIRÁMIDE INMORTAL,"SIERRA, JAVIER",XXX
EN BUSCA DE LA EDAD DE ORO,"SIERRA, JAVIER",XXX
EL ÁNGEL PERDIDO,"SIERRA, JAVIER",XXX
LA CENA SECRETA,"SIERRA, JAVIER",XXX
EL CÓDICE DEL PEREGRINO,"CORRAL, JOSE LUIS",XXX
EL MÉDICO HEREJE,"CORRAL, JOSE LUIS",XXX
EL LIBRO DE LA ESPALDA,DR. KOVACS,XXX
LOS ALIMENTOS DE NUESTRA DESPENSA,"LOPEZ FACAL, JAVIER",XXX
EL PODER DE LA VERDAD,"VIAR, ALEJO",XXX
EL LÍMITE,"DR. GAONA, JOSÉ MIGUEL",XXX
LAS AGUAS DE LA ETERNA JUVENTUD,"LEON, DONNA",XXX
BOTAS DE LLUVIA SECAS,"MANKELL, HENNING",XXX
MUJERES,ISABEL,XXX
PERVERSIDAD,"SAGASTIBERRI, JAVIER",XXX
XX,XX,XX
NO SOY UN MONSTRUO,"CHAPARRO, CARME",XXX
INHUMANO,"CORNWELL, PATRICIA",XXX
EL FUEGO INVISIBLE,"SIERRA, JAVIER",XXX
LA VERDAD SOBRE EL CASO HARRY QUEBERT,"DICKER, JOËL",XXX
DOLMEN,"PIMENTEL, MANUEL",XXX
EL HÉROE DE LAS MIL CARAS,"CAMPBELL, JOSEPH",XXX
